"x"
"Sherardia arvensis L."
"Galium verum L. subsp. verum"
"Galium palustre L. s.l."
"Galium mollugo L. subsp. erectum"
"Galium lucidum All. s.l."
"Galium divaricatum Lam."
"Galium debile Desv."
"Cruciata laevipes Opiz"
"Cruciata glabra (L.) Ehrend."
"Monotropa hypopitys L."
"Erica scoparia L."
"Erica arborea L."
"Calluna vulgaris (L.) Hull"
"Arbutus unedo L."
"Lysimachia vulgaris L."
"Lysimachia nummularia L."
"Lysimachia linum-stellatum L."
"Lysimachia arvensis (L.) U.Manns"
"Cyclamen hederifolium Aiton s.l."
"Cornus sanguinea L. subsp. sangu"
"Opuntia humifusa (Raf.) Raf."
"Opuntia ficus-indica (L.) Mill."
"Portulaca oleracea L."
"Portulaca nitida (Danin & H.G. B"
"Montia fontana L. subsp. chondro"
"Mirabilis jalapa L."
"Phytolacca americana L."
"Polycnemum arvense L."
"Oxybasis urbica (L.) S.Fuentes,"
"Dysphania ambrosioides (L.) Mosy"
"Chenopodium vulvaria L."
"Chenopodium album L. s.l."
"Chenopodiastrum murale (L.) S.Fu"
"Beta vulgaris L. s.l."
"Atriplex prostrata Boucher ex DC"
"Atriplex patula L."
"Amaranthus retroflexus L."
"Amaranthus paniculatus L."
"Amaranthus hybridus L."
"Amaranthus graecizans L."
"Amaranthus cruentus L."
"Vaccaria hispanica (Mill.) Rausc"
"Stellaria neglecta Weihe"
"Stellaria media (L.) Vill. subsp"
"Stellaria holostea L. subsp. hol"
"Spergularia rubra (L.) J.Presl &"
"Spergula arvensis L."
"Silene viridiflora L."
"Silene otites (L.) Wibel"
"Silene nutans L. subsp. nutans"
"Silene nemoralis Waldst. & Kit."
"Silene latifolia Poir. subsp. al"
"Silene italica (L.) Pers. subsp."
"Silene gallica L."
"Silene flos-cuculi (L.) Clairv."
"Sagina subulata (Sw.) C.Presl"
"Sagina procumbens L. subsp. proc"
"Sagina apetala Ard. subsp. apeta"
"Polycarpon tetraphyllum (L.) L."
"Petrorhagia prolifera (L.) P.W.B"
"Moenchia erecta (L.) G.Gaertn.,"
"Minuartia hybrida (Vill.) Shisch"
"Dianthus monspessulanus L."
"Dianthus balbisii Ser. s.l."
"Dianthus armeria L."
"Cerastium tomentosum L."
"Cerastium sylvaticum Waldst. & K"
"Cerastium semidecandrum L."
"Cerastium ligusticum Viv."
"Cerastium holosteoides Fr."
"Cerastium glomeratum Thuill."
"Cerastium brachypetalum Desp. ex"
"Cerastium arvense L. subsp. arve"
"Arenaria serpyllifolia L."
"Arenaria leptoclados (Rchb.) Gus"
"Rumex pulcher L. s.l."
"Rumex crispus L."
"Rumex arifolius All."
"Rumex acetosella L. subsp. pyren"
"Rumex acetosa L. subsp. acetosa"
"Polygonum aviculare L. subsp. ru"
"Polygonum arenastrum Boreau subs"
"Persicaria maculosa Gray"
"Persicaria lapathifolia (L.) Del"
"Persicaria hydropiper (L.) Delar"
"Persicaria dubia (Stein.) Fourr."
"Persicaria amphibia (L.) Delarbr"
"Fallopia dumetorum (L.) Holub"
"Thesium linophyllon L."
"Teesdalia coronopifolia (J.P.Ber"
"Rorippa amphibia (L.) Besser"
"Rapistrum rugosum (L.) All."
"Raphanus sativus L."
"Pseudoturritis turrita (L.) Al-S"
"Neslia paniculata (L.) Desv. sub"
"Nasturtium officinale R.Br."
"Microthlaspi perfoliatum (L.) F."
"Lunaria annua L."
"Lobularia maritima (L.) Desv."
"Lepidium graminifolium L."
"Lepidium campestre (L.) R.Br."
"Erysimum cheiri (L.) Crantz"
"Erophila verna (L.) DC. subsp. v"
"Erophila verna (L.) DC. subsp. p"
"Draba muralis L."
"Diplotaxis tenuifolia (L.) DC."
"Diplotaxis muralis (L.) DC."
"Coronopus didymus (L.) Sm."
"Cardaria draba (L.) Desv."
"Cardamine impatiens L."
"Cardamine hirsuta L."
"Cardamine granulosa All."
"Capsella rubella Reut."
"Calepina irregularis (Asso) Thel"
"Bunias erucago L."
"Brassica rapa L. s.l."
"Brassica napus L."
"Brassica nigra (L.) W.D.J.Koch"
"Barbarea vulgaris R.Br."
"Barbarea verna (Mill.) Asch."
"Arabis sagittata (Bertol.) DC."
"Arabis hirsuta (L.) Scop."
"Arabidopsis thaliana (L.) Heynh."
"Alyssum montanum L."
"Alyssum campestre L."
"Capparis spinosa L. subsp. rupes"
"Reseda luteola L."
"Tuberaria guttata (L.) Fourr."
"Helianthemum nummularium (L.) Mi"
"Fumana procumbens (Dunal) Gren."
"Cistus monspeliensis L."
"Cistus creticus L. subsp. erioce"
"Thymelaea passerina (L.) Coss. &"
"Daphne laureola L."
"Tilia cordata Mill."
"Malva veneta (Mill.) Soldano, Ba"
"Malva sylvestris L."
"Malva multiflora (Cav.) Soldano,"
"Malva moschata L."
"Althaea hirsuta L."
"Althaea cannabina L."
"Cardamine heptaphylla (Vill.) O."
"Myrtus communis L."
"Oenothera chicaginensis de Vries"
"Epilobium tetragonum L. subsp. t"
"Epilobium parviflorum Schreb."
"Epilobium obscurum Schreb."
"Epilobium lanceolatum Sebast. &"
"Epilobium collinum C.C.Gmel."
"Epilobium angustifolium L."
"Lythrum salicaria L."
"Lythrum hyssopifolia L."
"Geranium purpureum Vill."
"Geranium molle L."
"Geranium lucidum L."
"Geranium columbinum L."
"Erodium moschatum (L.) L'Hér."
"Erodium malacoides (L.) L'Hér."
"Erodium cicutarium (L.) L'Hér."
"Erodium acaule (L.) Bech. & Thel"
"Hypericum perforatum L. s.l."
"Hypericum montanum L."
"Hypericum calycinum L."
"Linum trigynum L."
"Linum strictum L."
"Linum corymbulosum Rchb."
"Linum bienne Mill."
"Viola tricolor L. s.l."
"Viola suavis M.Bieb."
"Viola riviniana Rchb."
"Viola odorata L."
"Viola arvensis Murray subsp. arv"
"Viola alba Besser subsp. dehnhar"
"Salix cinerea L."
"Salix babylonica L."
"Salix apennina A.K.Skvortsov"
"Populus canescens (Aiton) Sm."
"Clematis flammula L."
"Galium obliquum Vill. subsp. obl"
"Dianthus sylvestris Wulfen s.l."
"Cerastium tauricum Spreng."
"Polygonum arenastrum Boreau"
"Ricinus communis L."
"Mercurialis annua L."
