"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Cenchrus incertus M.A.Curtis",61,300,54.5,7.1
"Salvinia natans (L.) All.",99.6,700,69.4,23.7
"Vallisneria spiralis L.",80.4,200,69.4,35.9
"Silene canescens Ten.",54.5,100,54.5,54.5
"Carex viridula Michx.",56.4,100,56.4,56.4
"Cyperus fuscus L.",131.6,200,172.7,56.6
"Juncus subnodulosus Schrank",56.6,100,56.6,56.6
"Digitaria debilis (Desf.) Willd.",93.1,300,77,30.6
"Phalaroides arundinacea (L.) Rauschert subsp. arundinacea",99.7,1200,88.5,2.2
"Sparganium neglectum Beeby",97.5,300,84.7,56.6
"Eleocharis multicaulis (Sm.) Desv.",88.4,200,87.4,8.6
"Bulbostylis cioniana (Pi.Savi) Lye",95.7,200,87.4,65.7
"Leersia oryzoides (L.) Sw.",95.7,200,87.4,65.8
"Quercus petraea (Matt.) Liebl. subsp. petraea",59.3,500,17.7,15
"Hibiscus moscheutos L. subsp. moscheutos",99.7,600,87.4,1.2
"Quercus pubescens Willd. subsp. pubescens",100,400,88.5,84.7
"Hypericum elodes L.",99.6,400,87.4,43.7
"Fraxinus excelsior L. subsp. excelsior",31.5,400,17.7,1.7
"Lonicera implexa Aiton subsp. implexa",92.5,300,88.5,8.6
"Lonicera japonica Thunb.",99.9,900,88.5,1.3
"Helminthotheca echioides (L.) Holub",89.7,300,88.5,2.2
"Typha latifolia L.",100,1200,88.5,2.2
"Lysimachia arvensis (L.) U.Manns & Anderb. subsp. arvensis",100,1000,88.9,8.6
"Plantago cornutii Gouan",63.1,200,41.7,36.6
"Marcus-kochia ramosissima (Desf.) Al-Shehbaz",70,200,46.6,43.8
"Corylus avellana L.",58.8,100,58.8,58.8
"Ostrya carpinifolia Scop.",58.8,100,58.8,58.8
"Calluna vulgaris (L.) Hull",100,600,84.8,25.3
"Cortaderia selloana (Schult. & Schult.f.) Asch. & Graebn.",60.7,200,58.8,4.5
"Cyperus rotundus L.",58.8,100,58.8,58.8
"Isolepis cernua (Vahl) Roem. & Schult.",73.5,200,58.8,35.6
"Luzula campestris (L.) DC. subsp. campestris",100,700,85.7,55.7
"Neottia ovata (L.) Bluff & Fingerh.",11.8,100,11.8,11.8
"Serapias neglecta De Not.",99.1,400,85.7,50.5
"Cephalanthera rubra (L.) Rich.",16.3,200,11.8,5.2
"Cephalanthera longifolia (L.) Fritsch",99.9,500,85.7,57.7
"Ervum gracile DC.",99.6,800,84.4,2.2
"Lotus maritimus L.",98.8,700,85.7,1.1
"Trifolium dubium Sibth.",178.3,200,290.2,58.8
"Trifolium patens Schreb.",100,600,119,58.8
"Dianthus balbisii Ser. subsp. balbisii",58.8,100,58.8,58.8
"Ranunculus acris L. subsp. acris",83.6,300,58.8,35.9
"Oreoselinum nigrum Delarbre",95.9,400,69.2,23.2
"Ranunculus lingua L.",93.7,200,84.7,58.8
"Polygala nicaeensis W.D.J.Koch subsp. italiana (Chodat) Arrigoni",59.7,200,58.8,2.1
"Tuberaria guttata (L.) Fourr.",462238402.6,900,857.3,437.9
"Angelica sylvestris L. subsp. sylvestris",99,400,84.7,50.2
"Callitriche stagnalis Scop.",99.7,500,84.7,2.2
"Odontites luteus (L.) Clairv. subsp. luteus",69.1,300,58.8,2.2
"Seseli tortuosum L. subsp. tortuosum",69.1,300,58.8,2.2
"Erigeron acris L. subsp. acris",94.5,500,58.8,23.2
"Galium verum L. subsp. verum",59.8,200,58.8,2.2
"Hieracium sabaudum L.",58.8,100,58.8,58.8
"Phyla nodiflora (L.) Greene",99.8,800,71.3,11.2
"Succisa pratensis Moench",84,300,58.8,25.8
"Solidago virgaurea L. subsp. virgaurea",58.8,100,58.8,58.8
"Prunella laciniata (L.) L.",58.8,100,58.8,58.8
"Sonchus maritimus L.",98.2,600,88.9,8.6
"Origanum vulgare L. subsp. vulgare",58.8,100,58.8,58.8
"Hieracium umbellatum L.",58.8,100,58.8,58.8
"Bidens frondosa L.",77.2,500,58.8,2.2
"Epipactis helleborine (L.) Crantz",11.8,100,11.8,11.8
"Juncus tenuis Willd.",58.8,100,58.8,58.8
"Oenothera oehlkersi Kappus ex Rostanski",29.6,100,29.6,29.6
"Juncus bulbosus L.",100,900,87.2,32.9
"Aristolochia clematitis L.",100,1800,85.3,2.2
"Daphne laureola L.",16,100,16,16
"Lepidium virginicum L.",29.9,400,22.2,0.5
"Nelumbo nucifera Gaertn.",69,100,69,69
"Onobrychis caput-galli (L.) Lam.",36.1,400,23.2,3.7
"Xanthium italicum Moretti",1544.2,400,712.7,71.3
"Paspalum distichum L. subsp. distichum",77.7,500,56.6,2.8
"Oenothera laciniata Hill",97,600,84.4,1.3
"Amaranthus hybridus L.",29.1,100,29.1,29.1
"Elodea canadensis Michx.",99.6,800,78.2,2.8
"Dysphania ambrosioides (L.) Mosyakin & Clemants",81.2,500,35.9,23.2
"Amaranthus retroflexus L.",64.1,300,34.1,23.2
"Amaranthus albus L.",72.9,300,50.2,23.2
"Phalaris canariensis L.",269.5,400,290.6,25.5
"Solidago canadensis L.",22.3,100,22.3,22.3
"Broussonetia papyrifera (L.) Vent.",94.3,200,85.7,60
"Dysphania multifida (L.) Mosyakin & Clemants",59.7,100,59.7,59.7
"Portulaca oleracea L.",1061.3,200,1339.6,22.5
"Paspalum dilatatum Poir.",47.2,600,22.2,1.3
"Phalaris coerulescens Desf.",101,1400,398.4,2.2
"Dactylis glomerata L. subsp. glomerata",34.4,600,17.1,0.4
"Echinochloa crus-galli (L.) P.Beauv. subsp. crus-galli",41.4,400,34.1,2.2
"Sorghum halepense (L.) Pers.",6.7,200,4.6,2.2
"Setaria italica (L.) P.Beauv. subsp. viridis (L.) Thell.",11.1,300,4.6,2.2
"Arundo donax L.",9,200,4.6,4.6
"Equisetum palustre L.",78.7,300,70.8,4.6
"Cynodon dactylon (L.) Pers.",30.6,700,8.6,1.6
"Setaria pumila (Poir.) Roem. & Schult.",285.2,400,358.7,2.2
"Anthoxanthum odoratum L.",99,900,85.7,2.2
"Polypogon maritimus Willd.",94.2,900,66,4.6
"Potamogeton natans L.",99.5,700,85.7,2.2
"Potamogeton crispus L.",89.1,500,62.1,2.2
"Butomus umbellatus L.",95.5,300,85.4,42
"Silene latifolia Poir.",99.8,500,85.7,2.2
"Nasturtium officinale R.Br.",62.1,100,62.1,62.1
"Sisymbrium officinale (L.) Scop.",62.1,100,62.1,62.1
"Alliaria petiolata (M.Bieb.) Cavara & Grande",13.5,100,13.5,13.5
"Rorippa sylvestris (L.) Besser subsp. sylvestris",58.2,200,35.9,34.8
"Diplotaxis erucoides (L.) DC. subsp. erucoides",419.5,100,419.5,419.5
"Myagrum perfoliatum L.",86.7,300,62.1,35.9
"Ranunculus trichophyllus Chaix",99.7,500,85.7,34.1
"Papaver rhoeas L. subsp. rhoeas",79.1,300,43.8,35.9
"Ranunculus sceleratus L.",62.8,200,42,35.9
"Vicia angustifolia L.",94.7,300,66,59.1
"Cynoglossum officinale L.",62.1,100,62.1,62.1
"Lathyrus hirsutus L.",99.2,500,85.7,6.5
"Capsella bursa-pastoris (L.) Medik. subsp. bursa-pastoris",94.3,300,84.7,35.9
"Ervum tetraspermum L.",94.2,400,66,34.8
"Medicago arabica (L.) Huds.",43.3,200,42,2.2
"Trifolium pratense L. subsp. pratense",94.7,400,84.7,2.2
"Smyrnium olusatrum L.",43.3,200,42,2.2
"Bunias erucago L.",42,100,42,42
"Cerastium glomeratum Thuill.",99.9,700,85.7,2.2
"Geranium dissectum L.",79.7,300,62.1,2.2
"Lathyrus annuus L.",63.8,300,62.1,2.2
"Euphorbia helioscopia L. subsp. helioscopia",63.6,300,42,2.2
"Euphorbia characias L.",71.2,200,67.4,11.7
"Borago officinalis L.",63,200,62.1,2.2
"Symphytum officinale L.",100,900,70.9,1.2
"Tordylium apulum L.",99.8,500,85.7,43.8
"Scandix pecten-veneris L. subsp. pecten-veneris",504.1,200,621.1,22.5
"Solanum nigrum L.",97.2,500,88.9,8.6
"Scrophularia auriculata L. subsp. auriculata",96.1,300,84.7,8.6
"Stachys recta L. subsp. recta",77.8,300,50.2,23.2
"Ranunculus arvensis L.",77.3,200,62.1,40.1
"Convolvulus althaeoides L.",42,100,42,42
"Galium tricornutum Dandy",43.3,200,42,2.2
"Plantago lanceolata L.",99.9,800,85.7,2.2
"Sambucus ebulus L.",22.9,400,15.1,0.4
"Verbascum sinuatum L.",99.8,800,85.7,2.2
"Sherardia arvensis L.",99.9,700,85.7,2.2
"Veronica anagallis-aquatica L. subsp. anagallis-aquatica",95.8,400,84.7,2.2
"Anthemis arvensis L. subsp. arvensis",43.3,200,42,2.2
"Bellis perennis L.",99.6,600,85.7,2.2
"Cirsium arvense (L.) Scop.",48.1,300,42,2.2
"Cirsium vulgare (Savi) Ten. s.l.",89.8,400,67.4,2.2
"Silybum marianum (L.) Gaertn.",81.5,300,67.4,2.2
"Carduus pycnocephalus L. subsp. pycnocephalus",100,900,85.7,2.2
"Dipsacus fullonum L.",97.8,500,84.7,2.2
"Lactuca sativa L. subsp. serriola (L.) Galasso, Banfi, Bartolucci & Ardenghi",43.3,200,42,2.2
"Avena fatua L. subsp. fatua",63.6,300,42,2.2
"Lolium arundinaceum (Schreb.) Darbysh subsp. arundinaceum",30.9,500,14.4,0.4
"Bromus hordeaceus L. subsp. hordeaceus",45.8,300,42,2.2
"Hordeum murinum L. subsp. leporinum (Link) Arcang.",47.9,300,42,2.2
"Schoenoplectiella mucronata (L.) J.Jung & H.K.Choi",66.6,500,38,1
"Potamogeton pusillus L.",35.9,100,35.9,35.9
"Polygonum aviculare L. subsp. aviculare",37.3,200,35.9,2.2
"Rumex conglomeratus Murray",100,700,85.7,2.2
"Saponaria officinalis L.",83.9,200,75,35.9
"Cardamine hirsuta L.",41.5,400,16.9,7.2
"Hypericum perforatum L. subsp. perforatum",100,900,85.7,2.2
"Thalictrum flavum L.",99.4,400,85.7,38
"Vicia hybrida L.",80.2,200,69.2,35.9
"Ficaria verna Huds. subsp. verna",90.2,200,84.7,35.9
"Fumaria officinalis L. subsp. officinalis",35.9,100,35.9,35.9
"Daucus carota L. subsp. carota",37.3,200,35.9,2.2
"Arabidopsis thaliana (L.) Heynh.",35.9,100,35.9,35.9
"Malva punctata (All.) Alef.",66.5,200,47.8,35.9
"Malva sylvestris L.",87.9,400,75,2.2
"Persicaria amphibia (L.) Delarbre",37.3,200,35.9,2.2
"Persicaria decipiens (R.Br.) K.L.Wilson",57.7,200,35.9,34.1
